"","V1","V2","V3","V4"
"1",15,0,-1,-1
"2",15,-1,2,-1
"3",10.067503674408,2,3,-1
"4",9.16181717057467,3,4,-1
"5",8.87728549020734,-1,-5,-1
"6",6.66334846230929,2,6,-1
"7",6.40705286991702,-1,-7,-1
"8",5.64974764620927,-5,-8,-1
"9",5.52702411131052,3,9,-1
"10",4.45872920507556,-8,-10,-1
"11",4.3561034645516,-8,-11,-1
"12",4.31872844061997,-1,-12,-1
"13",4.09890008462187,9,13,-1
"14",3.47778829303943,-5,-14,-1
"15",2.60007534641517,-8,-15,-1
"16",2.5872848481223,-14,-16,-1
"17",2.37677228966336,2,17,-1
"18",2.25942794546602,3,18,-1
"19",2.13354670709507,-5,-19,-1
"20",1.75763293501822,18,20,-1
"21",1.09378594778278,-1,-21,-1
"22",0.888794767355227,20,22,-1
"23",0.247753762443486,4,23,-1
"24",0.208707947341408,3,24,-1
"25",0.0500096716938696,23,25,-1
