"","V1","V2","V3","V4"
"1",15,0,-1,-1
"2",15,-1,2,-1
"3",14.2407100435877,2,3,-1
"4",13.1581790221998,2,4,-1
"5",11.7470545373005,-1,-5,-1
"6",11.0841008772045,-5,-6,-1
"7",10.5898837704155,-6,-7,-1
"8",10.1987455252083,-6,-8,-1
"9",9.7004261016272,-5,-9,-1
"10",8.06790362440898,-6,-10,-1
"11",6.57639999524584,-6,-11,-1
"12",5.62979065818443,4,12,-1
"13",4.95302827469574,-6,-13,-1
"14",3.67959220690462,-13,-14,-1
"15",3.07686699785292,-10,-15,-1
"16",2.24911211420562,3,16,-1
"17",1.98564032273762,3,17,-1
"18",1.77563511045874,-10,-18,-1
"19",1.43609788654197,-15,-19,-1
"20",1.31198360534144,-6,-20,-1
"21",1.13261634182347,-7,-21,-1
"22",1.04327594325565,-14,-22,-1
"23",0.994104333505341,-10,-23,-1
"24",0.468354511160193,-23,-24,-1
"25",0.221164614758138,17,25,-1
"26",0.148231001731428,4,26,-1
"27",0.117919992340713,-9,-27,-1
"28",0.039283091175907,-21,-28,-1
"29",0.0231847004261372,-9,-29,-1
