"","V1","V2","V3","V4"
"1",15,0,-1,-1
"2",15,-1,2,-1
"3",8.67068951979223,-1,-3,-1
"4",5.46778010332889,2,4,-1
"5",4.93211505582002,-3,-5,-1
"6",4.77306535459124,2,6,-1
"7",3.71925758076256,-1,-7,-1
"8",3.3983012108162,-3,-8,-1
"9",3.26659817714379,-3,-9,-1
"10",3.21869916814042,-5,-10,-1
"11",3.20857483583804,4,11,-1
"12",2.65417334526039,11,12,-1
"13",2.26376086460795,-10,-13,-1
"14",2.14127717850577,-7,-14,-1
"15",1.01537105449998,-3,-15,-1
"16",0.5742147724972,4,16,-1
"17",0.410195904680585,-8,-17,-1
"18",0.396896244821461,6,18,-1
