"","V1","V2","V3","V4"
"1",15,0,-1,-1
"2",15,-1,2,-1
"3",12.0809085852873,2,3,-1
"4",11.9386427451037,-1,-4,-1
"5",10.3248738231046,-4,-5,-1
"6",9.72936460253778,-5,-6,-1
"7",9.6780517322758,-5,-7,-1
"8",8.56677335354754,-4,-8,-1
"9",7.62387688122174,3,9,-1
"10",7.06372719893389,-1,-10,-1
"11",6.68150413882777,-5,-11,-1
"12",6.21491557725924,-10,-12,-1
"13",5.53417193762874,-4,-13,-1
"14",5.40275042559628,-6,-14,-1
"15",5.31449905084749,-12,-15,-1
"16",4.88500253004185,-7,-16,-1
"17",4.62210201914887,-14,-17,-1
"18",4.14863276986642,-17,-18,-1
"19",4.09662022765702,-6,-19,-1
"20",4.01689261171008,-4,-20,-1
"21",4.01669257287075,9,21,-1
"22",3.92283838825062,-16,-22,-1
"23",3.83345247504502,-20,-23,-1
"24",3.72090632881749,-4,-24,-1
"25",3.64284021134,-4,-25,-1
"26",3.55706599460439,-4,-26,-1
"27",3.49622241423894,-13,-27,-1
"28",3.42894673829627,9,28,-1
"29",3.34406423026804,-24,-29,-1
"30",3.07291769234082,3,30,-1
"31",2.87179318100455,-11,-31,-1
"32",2.64550197699374,30,32,-1
"33",2.37617501203168,3,33,-1
"34",2.33488611188746,-25,-34,-1
"35",2.21919365916328,-10,-35,-1
"36",2.06055010224601,-15,-36,-1
"37",1.95436513437397,-11,-37,-1
"38",1.94211582986645,-11,-38,-1
"39",1.92845970836595,-8,-39,-1
"40",1.85337387615424,-6,-40,-1
"41",1.82815590344985,-25,-41,-1
"42",1.56278251868807,-17,-42,-1
"43",1.48339780727144,-29,-43,-1
"44",1.23168896980405,-15,-44,-1
"45",1.2213950609341,-41,-45,-1
"46",1.21774100849473,-38,-46,-1
"47",1.19257370409401,2,47,-1
"48",1.16524346674707,-11,-48,-1
"49",1.14507061889685,21,49,-1
"50",1.14327795985707,-7,-50,-1
"51",1.01672742701071,-38,-51,-1
"52",0.97201704673606,-25,-52,-1
"53",0.948552026545705,-19,-53,-1
"54",0.942601176817435,-31,-54,-1
"55",0.809959170037663,-35,-55,-1
"56",0.746449310625394,-12,-56,-1
"57",0.614968342415663,-41,-57,-1
"58",0.613686837038564,-10,-58,-1
"59",0.602710547290409,-18,-59,-1
"60",0.600557994212366,-50,-60,-1
"61",0.518581410936957,-6,-61,-1
"62",0.502323653589631,-51,-62,-1
"63",0.48403519058453,-56,-63,-1
"64",0.424491348333468,-35,-64,-1
"65",0.406704927862471,-23,-65,-1
"66",0.392242419228213,-5,-66,-1
"67",0.374035778081883,33,67,-1
"68",0.170386916582268,67,68,-1
"69",0.168321328558893,32,69,-1
"70",0.160077254984706,-8,-70,-1
"71",0.148425553005461,-24,-71,-1
"72",0.11632089933547,-52,-72,-1
"73",0.115283595289828,-61,-73,-1
"74",0.0722480776521515,-17,-74,-1
"75",0.014525611565416,-60,-75,-1
"76",0.00556662507389838,67,76,-1
