"","time.branching"
"1",1
"2",1
"3",3
"4",4
"5",5
"6",6
"7",8
"8",11
"9",12
"10",13
"11",14
"12",17
"13",18
"14",19
"15",20
"16",21
"17",22
"18",23
"19",24
"20",26
"21",28
"22",29
"23",31
"24",32
"25",34
"26",36
"27",38
"28",39
"29",41
"30",42
"31",43
"32",44
"33",46
"34",47
"35",48
"36",49
"37",50
"38",52
"39",53
"40",56
"41",59
"42",61
"43",62
"44",63
"45",65
"46",67
"47",68
"48",70
"49",73
"50",78
"51",79
"52",80
"53",82
"54",87
"55",88
"56",89
"57",92
"58",93
"59",96
"60",98
"61",100
"62",102
"63",104
"64",105
"65",106
"66",109
"67",110
"68",111
"69",112
"70",113
"71",116
"72",117
"73",118
"74",119
"75",122
"76",123
"77",124
"78",126
"79",127
"80",128
"81",129
"82",130
"83",131
"84",132
"85",135
"86",139
"87",140
"88",142
"89",145
"90",148
"91",151
"92",152
"93",153
"94",154
"95",158
"96",159
"97",162
"98",163
"99",164
"100",165
"101",166
"102",167
"103",168
"104",169
"105",171
"106",172
"107",173
"108",175
"109",176
"110",177
"111",179
"112",180
"113",181
"114",183
"115",184
"116",185
"117",186
"118",188
"119",189
"120",190
"121",191
"122",192
"123",193
"124",194
"125",196
"126",201
"127",202
"128",205
"129",207
"130",208
"131",210
"132",211
"133",212
"134",213
"135",214
"136",215
"137",216
"138",218
"139",219
"140",221
"141",224
"142",226
"143",227
"144",228
"145",231
"146",233
"147",234
"148",235
"149",238
"150",239
"151",240
"152",241
"153",242
"154",244
"155",245
"156",246
"157",248
"158",249
"159",250
"160",251
"161",253
"162",255
"163",256
"164",258
"165",259
"166",260
"167",261
"168",262
"169",268
"170",274
"171",275
"172",276
"173",283
"174",288
"175",289
"176",291
"177",292
"178",293
"179",294
"180",295
"181",296
"182",299
"183",300
"184",302
"185",303
"186",306
"187",307
"188",309
"189",310
"190",312
"191",313
"192",314
"193",315
"194",316
"195",317
"196",318
"197",319
"198",321
"199",322
"200",323
"201",324
"202",325
"203",326
"204",328
"205",329
"206",330
"207",331
"208",333
"209",343
"210",344
"211",346
"212",348
"213",350
"214",351
"215",353
"216",355
"217",356
