"","V1","V2","V3","V4"
"1",15,0,-1,-1
"2",15,-1,2,-1
"3",14.2622283824334,2,3,-1
"4",13.6145504475021,2,4,-1
"5",13.0469341632836,4,5,-1
"6",11.4434053684214,-1,-6,-1
"7",11.2405503880754,-1,-7,-1
"8",11.0411981491198,-6,-8,-1
"9",10.9120279319793,4,9,-1
"10",10.2722423573921,-1,-10,-1
"11",10.1610935914742,-1,-11,-1
"12",9.96916848296857,3,12,-1
"13",9.79398193013557,-6,-13,-1
"14",9.5005885916335,12,14,-1
"15",9.39278884804204,-13,-15,-1
"16",9.04683912328297,-13,-16,-1
"17",8.72043787813461,-10,-17,-1
"18",8.60913923600184,14,18,-1
"19",7.408334845866,-11,-19,-1
"20",7.26966432942011,-16,-20,-1
"21",7.17910692072218,-11,-21,-1
"22",6.98194920638742,2,22,-1
"23",6.88152709590636,2,23,-1
"24",6.78875671321827,22,24,-1
"25",6.75944167122053,14,25,-1
"26",6.56082355855409,-6,-26,-1
"27",6.51067926640935,-10,-27,-1
"28",6.20924856643503,14,28,-1
"29",6.19861222308213,5,29,-1
"30",6.16610897956942,5,30,-1
"31",6.07790526268318,-17,-31,-1
"32",5.87009957857341,-11,-32,-1
"33",5.85273646078545,-13,-33,-1
"34",5.78074405984882,29,34,-1
"35",5.42449568917851,-31,-35,-1
"36",5.37957261010072,12,36,-1
"37",5.30911414752262,18,37,-1
"38",5.30894008775334,3,38,-1
"39",5.22619418638396,-13,-39,-1
"40",5.14760851982244,-31,-40,-1
"41",4.99799563622433,30,41,-1
"42",4.87893040703291,4,42,-1
"43",4.82226802814424,4,43,-1
"44",4.74473274214083,12,44,-1
"45",4.65632693744976,44,45,-1
"46",4.48505400765779,-39,-46,-1
"47",4.40125647518662,9,47,-1
"48",4.3062365166269,24,48,-1
"49",3.94100706554724,-35,-49,-1
"50",3.71738707927121,-40,-50,-1
"51",3.70461730106102,-7,-51,-1
"52",3.48732494583752,-17,-52,-1
"53",3.44477800925637,44,53,-1
"54",3.38810202508068,-26,-54,-1
"55",3.28340674901441,25,55,-1
"56",3.21100455417193,-7,-56,-1
"57",3.04028128339323,41,57,-1
"58",3.00578851323756,4,58,-1
"59",2.96499196517602,29,59,-1
"60",2.84622001828172,28,60,-1
"61",2.8058201800152,-13,-61,-1
"62",2.75847162193764,14,62,-1
"63",2.75311995163178,12,63,-1
"64",2.7074658437708,36,64,-1
"65",2.6452089132823,-6,-65,-1
"66",2.50443073295371,63,66,-1
"67",2.38228413280217,66,67,-1
"68",2.22224737100478,59,68,-1
"69",2.2216756502743,53,69,-1
"70",2.21416741712083,-19,-70,-1
"71",2.19329230303172,9,71,-1
"72",2.150866914729,-50,-72,-1
"73",2.13513293735067,30,73,-1
"74",2.03453278779909,69,74,-1
"75",1.966188043328,55,75,-1
"76",1.96184855354525,12,76,-1
"77",1.96112280592679,-33,-77,-1
"78",1.91773516211542,71,78,-1
"79",1.90962428536859,-51,-79,-1
"80",1.80109843021681,55,80,-1
"81",1.78049199052812,73,81,-1
"82",1.69899310250049,-11,-82,-1
"83",1.64807484888498,43,83,-1
"84",1.41786356125208,-49,-84,-1
"85",1.35141477069905,67,85,-1
"86",1.11864377383377,28,86,-1
"87",0.940370463636643,63,87,-1
"88",0.450500861776462,-51,-88,-1
"89",0.380445302171736,30,89,-1
"90",0.349896769698338,24,90,-1
"91",0.319038699214961,47,91,-1
"92",0.296096279410758,-13,-92,-1
"93",0.261460911724347,81,93,-1
"94",0.223210161359534,-7,-94,-1
