"","V1","V2","V3","V4","V5"
"1",15,0,-1,8.40650503350258,1
"2",15,-1,2,11.8415893854114,1
"3",13.6778520626157,-1,-3,11.7100014068723,1
"4",12.3333181110806,-3,-4,11.5231133611067,1
"5",12.3057852633252,2,5,7.96233837566895,1
"6",12.1448777494203,5,6,7.44405681235531,1
"7",12.0027383502346,5,7,8.07139590487356,1
"8",11.9130236356808,6,8,11.0936266988946,1
"9",11.8804530003435,-1,-9,10.6250023128346,1
"10",11.8374921928249,-1,-10,9.54668141548711,1
"11",11.8094547163932,-10,-11,11.2611116739431,1
"12",11.6552708590455,7,12,4.20516152822584,1
"13",11.1249605669172,-1,-13,10.0213159138555,1
"14",10.9695150318699,7,14,9.35850684451715,1
"15",10.9331545439925,6,15,10.3466875732878,1
"16",10.7961835786179,-1,-16,10.6016843925338,1
"17",10.4886776479906,7,17,9.29335073644721,1
"18",10.3218609889636,-13,-18,9.42390703681343,1
"19",10.2694255074293,5,19,8.50580221738693,1
"20",10.2326227057697,5,20,10.0240320333635,1
"21",9.86014179180944,17,21,2.8449384068944,1
"22",9.80966616205613,19,22,4.79798927157545,1
"23",9.76870412278083,22,23,9.67670422419157,1
"24",9.73915059003798,6,24,7.40342239102792,1
"25",9.72818029165185,14,25,8.47363709343907,1
"26",9.64521153933353,19,26,6.2357570966447,1
"27",9.6444750401283,-18,-27,6.78754441309905,1
"28",9.41620056886622,19,28,9.18669267306356,1
"29",9.41582511792648,21,29,8.37972829403346,1
"30",9.38123554263591,21,30,6.40085637706227,1
"31",9.38018323777328,25,31,8.69882613926602,1
"32",9.3451331908526,7,32,7.2929415070206,1
"33",9.26602209206127,22,33,7.70888271836685,1
"34",9.257260889867,26,34,8.51714783718883,1
"35",9.16928982733532,30,35,8.35553266028186,1
"36",9.15272631395382,30,36,8.51797485644843,1
"37",9.09242939951255,5,37,8.3922625631536,1
"38",8.90477788050029,33,38,8.0808486153619,1
"39",8.89535720311551,38,39,8.73846734356695,1
"40",8.49201509250151,25,40,5.12627149838823,1
"41",8.3412979882967,12,41,8.07282087601489,1
"42",8.26918293705112,22,42,7.98054953388795,1
"43",8.26675501440245,7,43,8.20045816313736,1
"44",7.82930612563937,22,44,7.65894221378815,1
"45",7.35403286244154,30,45,4.56910153890398,1
"46",7.30636208330428,-27,-46,5.58151984698194,1
"47",7.29072705214811,-27,-47,-1,1
"48",7.18437513016026,-47,-48,4.24662564627941,1
"49",7.07795344331728,40,49,6.65707535401342,1
"50",7.00498813535905,-47,-50,3.44030041425479,1
"51",6.99892468845797,26,51,6.21757031494879,1
"52",6.85629237152459,26,52,4.72235472357584,1
"53",6.59677963644967,-47,-53,4.94773889782729,1
"54",6.45455742514287,-46,-54,4.7868881037681,1
"55",6.38303920968633,22,55,5.88009006789422,1
"56",6.36515017353968,12,56,1.85455193660952,1
"57",6.00416017100475,-47,-57,-1,1
"58",5.96163164990039,-46,-58,1.48346033142544,1
"59",5.86484088654574,56,59,3.73000270755623,1
"60",5.77966781095094,-47,-60,3.22081367918165,1
"61",5.47657053373735,12,61,4.80783960979256,1
"62",5.41739505457406,-53,-62,3.96447200031367,1
"63",5.41406727448192,-47,-63,0.998695017762161,1
"64",5.38675167591243,45,64,3.47380888242451,1
"65",5.38160485819245,-57,-65,1.71525947883373,1
"66",5.35974703616736,56,66,4.58958155785185,1
"67",5.19869484780406,61,67,3.97173067126232,1
"68",5.1637716272175,-58,-68,-1,1
"69",5.12570926779902,-63,-69,1.04409389238552,1
"70",5.06281825890347,-58,-70,4.50507365793427,1
"71",5.03974757725769,12,71,4.55962756947536,1
"72",5.00471368904051,-47,-72,4.39276356941193,1
"73",4.98999439306559,21,73,4.5442712235121,1
"74",4.97131916382678,52,74,4.46227254983006,1
"75",4.94509064730848,22,75,3.86118359276651,1
"76",4.94174212947078,52,76,4.87854397910226,1
"77",4.9128733832277,73,77,4.8042112728153,1
"78",4.90621351323482,22,78,1.94006247178348,1
"79",4.87668050197889,-54,-79,4.52295016596998,1
"80",4.53847113782098,78,80,1.9369065075939,1
"81",4.53417419527975,75,81,3.83046656331764,1
"82",4.51737264306342,-60,-82,1.38148788725673,1
"83",4.49351571430621,-62,-83,4.12951180159823,1
"84",4.42769919257412,-62,-84,4.20759245231059,1
"85",4.42560626646177,-69,-85,1.30040408084169,1
"86",4.3397463836947,59,86,1.9891924496131,1
"87",4.22603560874372,-68,-87,2.4141386216776,1
"88",4.20847857187476,86,88,3.13738543389837,1
"89",4.08200418634233,-82,-89,3.5720461927312,1
"90",4.04558448675417,-47,-90,2.07481090572502,1
"91",3.99536067757963,-68,-91,2.56298324137363,1
"92",3.87657225978164,-57,-92,-1,1
"93",3.81714713648436,-68,-93,1.11361179842201,1
"94",3.69636188349667,-90,-94,3.69248261288214,1
"95",3.69633662907767,-50,-95,1.89880465243697,1
"96",3.69574174729955,21,96,1.22938491168634,1
"97",3.65180925583132,-63,-97,3.50160763810358,1
"98",3.48320385921612,96,98,-1,1
"99",3.37799587389138,-95,-99,2.69534209271222,1
"100",3.37581040874428,-63,-100,1.91795039378692,1
"101",3.36080284378685,-69,-101,-1,1
"102",3.24605598366848,-85,-102,3.07559877610563,1
"103",3.24495227233744,-102,-103,1.70546294312908,1
"104",3.23581828937036,21,104,2.91459400218761,1
"105",3.20144109748629,-93,-105,3.17994733793896,1
"106",3.10117377405396,104,106,2.62341063426557,1
"107",3.08490612812541,-87,-107,1.39679274415381,1
"108",3.06156966696957,-58,-108,3.04580214693545,1
"109",3.00533441256415,-68,-109,1.14756131745316,1
"110",2.99816539266298,-47,-110,2.43181551135701,1
"111",2.92787959676936,-85,-111,1.82673519104047,1
"112",2.84057829890032,-91,-112,2.54398590985354,1
"113",2.82331872470984,-47,-113,0.87717846093256,1
"114",2.74905133610371,98,114,2.01713591142729,1
"115",2.74231037805629,80,115,2.30676616422358,1
"116",2.69260428830982,-68,-116,-1,1
"117",2.64627230967699,-47,-117,1.37470835602605,1
"118",2.59322014947014,-95,-118,1.32610379527478,1
"119",2.51792259752412,-93,-119,1.88818486708325,1
"120",2.48691970640122,-118,-120,2.27277883560902,1
"121",2.43375403380289,80,121,2.25148689781436,1
"122",2.37768096690025,-57,-122,1.40642829139809,1
"123",2.34526155028786,121,123,2.32636061086924,1
"124",2.33712190285235,-92,-124,0.618449828899626,1
"125",2.28376731909571,-120,-125,1.34337696820264,1
"126",2.27585214705971,-82,-126,-1,1
